,year,periodName,CPI,CPI_yoy,Unemployment,NF Employment,NF Employment_yoy,ULC,ULC_yoy,Hourly earnings,Hourly earnings_yoy,PPI,PPI_yoy,Shelter,Shelter_yoy,Energy,Energy_yoy,Food,Food_yoy
0,2023,December,306.746,3.3521228314302265,3.7,157232.0,1.745235707121373,,,34.27,4.100850546780066,141.154,0.9829732436686278,390.037,6.174408950470234,269.375,-2.023008907495172,325.409,2.704843785013833
1,2023,November,307.051,3.1372707088417773,3.7,157016.0,1.7628454399336357,,,34.12,4.024390243902443,141.877,0.7756508150726482,388.266,6.526009657594378,277.029,-5.435684222383785,325.172,2.9491193799725757
2,2023,October,307.671,3.241144651893202,3.8,156843.0,1.8421360206745119,,,34.0,4.102878138395605,142.448,1.2135853346596503,386.536,6.730726750607463,286.754,-4.529579603074973,325.731,3.3007424133349117
3,2023,September,307.789,3.69969812134443,3.8,156738.0,1.9885217527101373,,,33.91,4.2422379342145655,142.898,2.0219039595619215,385.259,7.145856799187911,296.004,-0.4503216823668277,324.704,3.6922546320838467
4,2023,August,307.026,3.6651123843995492,3.8,156476.0,2.050452612631415,,,33.82,4.286154794942965,142.641,1.9119065480655895,382.782,7.248886273850541,294.328,-3.6165725737788756,324.1,4.254121431443503
5,2023,July,305.691,3.177780177942169,3.5,156311.0,2.1774088116093715,,,33.73,4.330343334364373,141.871,1.1312765532776492,381.681,7.658308182664375,284.828,-12.4702295894065,323.523,4.858815293065244
6,2023,June,305.109,2.9691776545588855,3.6,156075.0,2.4033540666089204,,,33.6,4.412678682411442,141.181,0.25706758320966916,380.006,7.798839195039053,283.854,-16.738091676273104,322.556,5.741851095426509
7,2023,May,304.127,4.047609272791974,3.7,155970.0,2.5834966653950797,,,33.45,4.335620711166555,140.912,1.0708726931049517,378.622,8.026785434064987,279.816,-11.66336764942656,322.249,6.691542123838734
8,2023,April,303.363,4.930320398188925,3.4,155689.0,2.644417779770314,,,33.34,4.383218534752675,141.303,2.2608355828309668,376.528,8.095817735008403,283.352,-5.064847605613987,321.566,7.651208023808942
9,2023,March,301.836,4.984974122099173,3.5,155472.0,2.6732882502113364,,,33.2,4.304115614200454,140.995,2.660531086856799,374.946,8.175182481751818,279.084,-6.424897567779608,320.863,8.499364280690358
10,2023,February,300.84,6.035613077866597,3.6,155255.0,2.8110721144295026,,,33.11,4.679102118242184,140.956,4.736924231503714,372.869,8.115576432382277,281.673,5.191749666692802,320.569,9.486191656932874
11,2023,January,299.17,6.410146968856267,3.4,155007.0,3.265026048259223,,,33.02,4.394562124565304,140.713,5.740415107383856,370.07,7.906914358527262,283.33,8.700072510195533,319.136,10.133484256587955
12,2022,December,296.797,6.4544013314108195,3.5,154535.0,3.200838776028103,,,32.92,4.7740292807129325,139.78,6.422828602753072,367.355,7.475965617521263,274.937,7.310495029409814,316.839,10.409944035181873
13,2022,November,297.711,7.110322794191726,3.6,154296.0,3.4342675953423107,,,32.8,4.9935979513444195,140.785,7.395682355633526,364.48,7.086614173228356,292.953,13.065611732921623,315.857,10.630212218964875
14,2022,October,298.012,7.7454273308049215,3.6,154006.0,3.666556721571901,,,32.66,4.881181759794462,140.74,8.18081892741569,362.16,6.903758279905081,300.359,17.631923176338816,315.323,10.949138825847538
15,2022,September,296.808,8.20166964383362,3.5,153682.0,3.995181962132377,,,32.53,5.071059431524549,140.066,8.480745995848693,359.565,6.606321694244888,297.343,19.786244903878703,313.142,11.238126363203627
16,2022,August,296.171,8.262692503116241,3.6,153332.0,4.150902384849986,,,32.43,5.36062378167641,139.965,8.706458001631013,356.91,6.254521421490256,305.372,23.813346632122247,310.875,11.370842065667164
17,2022,July,296.276,8.52481474562552,3.5,152980.0,4.381882940542314,,,32.33,5.446836268754063,140.284,9.747778195018153,354.53,5.7193976442522665,325.407,32.92769607843135,308.532,10.93205621892157
18,2022,June,296.311,9.059757964784154,3.6,152412.0,4.542866745776419,,,32.18,5.404520144120539,140.819,11.231437598736171,352.514,5.607616628120171,340.917,41.623878364905266,305.041,10.439671839134546
19,2022,May,292.296,8.581511543676523,3.6,152042.0,4.787175387329778,,,32.06,5.529953917050712,139.419,11.09083665338646,350.489,5.445426894391803,316.761,34.59775047909612,302.038,10.147623007016481
20,2022,April,289.109,8.258629340882372,3.7,151678.0,4.884727619732532,,,31.94,5.7615894039735105,138.179,11.165728077232506,348.328,5.135944366639289,298.469,30.269819654672723,298.711,9.381888754623024
21,2022,March,287.504,8.542455554842432,3.6,151424.0,4.916578903608437,,,31.83,5.923460898502486,137.341,11.65934959349595,346.61,4.997379685138115,298.246,32.04847229047954,295.728,8.798728532956602
22,2022,February,283.716,7.871063897739283,3.8,151010.0,5.201192665663501,,,31.63,5.257903494176364,134.581,10.402789171451987,344.88,4.757652247605693,267.771,25.55080951063642,292.794,7.897539458216474
23,2022,January,281.148,7.479872468289117,4.0,150106.0,4.991991270834939,,,31.63,5.715240641711228,133.074,10.06947890818859,342.953,4.379359881179901,260.653,26.97870640561595,289.772,6.951405856690451
24,2021,December,278.802,7.036402865545144,3.9,149742.0,5.100543955079839,,,31.42,5.0133689839572115,131.344,10.003350083752082,341.802,4.177753394596073,256.207,29.296257979864237,286.966,6.2746506779052025
25,2021,November,277.948,6.809002839806477,4.1,149173.0,4.50459917474062,,,31.24,5.39811066126854,131.09,9.882648784576698,340.36,3.868677960101685,259.1,33.290120789349146,285.507,6.109213621784737
26,2021,October,276.589,6.221868903328898,4.5,148559.0,4.267295531271276,,,31.14,5.416384563304,130.097,8.867782426778259,338.772,3.498716852010264,255.338,29.970782559122043,284.205,5.328209081340707
27,2021,September,274.31,5.390348855079163,4.7,147778.0,4.245203160270883,,,30.96,4.878048780487809,129.116,8.775063184498745,337.283,3.160422082887293,248.228,24.826760804191927,281.506,4.5856971426236015
28,2021,August,273.567,5.251271554874992,5.1,147221.0,4.56111193971549,,,30.78,4.409769335142477,128.755,8.654008438818561,335.901,2.8185483006982093,246.639,24.967825619926852,279.135,3.7371924230430453
29,2021,July,273.003,5.365475239385398,5.4,146558.0,5.388885692918377,,,30.66,4.321197686287848,127.824,7.959459459459461,335.35,2.7895870945198187,244.8,23.84590089292491,278.127,3.445621004005761
30,2021,June,271.696,5.391451413321335,5.9,145789.0,5.935910478128181,,,30.53,3.94960844399046,126.6,7.561597281223431,333.796,2.5515298426070254,240.72,24.480941570697958,276.206,2.385735997331073
31,2021,May,269.195,4.992706537594471,5.8,145096.0,9.049641125850204,,,30.38,2.2207267833109112,125.5,6.990622335890873,332.389,2.2043539757702346,235.339,28.547160741986932,274.212,2.1505816964002777
32,2021,April,267.054,4.15969483870211,6.1,144614.0,10.874798742620563,,,30.2,0.6331222925691327,124.3,6.512425021422441,331.312,2.0979710573675536,229.116,25.14460812427288,273.09,2.3740707835220753
33,2021,March,264.877,2.619762508959189,6.1,144328.0,-4.38308246767013,,,30.05,4.340277777777768,123.0,4.149026248941579,330.113,1.6983980283425737,225.861,13.172122481497993,271.812,3.465444523958161
34,2021,February,263.014,1.6762152173745104,6.2,143544.0,-5.7930971116551095,,,30.05,5.25394045534151,121.9,2.9560810810810745,329.217,1.4533083102979738,213.277,2.362805609683516,271.363,3.6227069299974213
35,2021,January,261.582,1.3997697415600863,6.4,142969.0,-6.002051309024448,,,29.92,5.240942666197679,120.9,1.5966386554621792,328.564,1.593956878132663,205.273,-3.647151044624797,270.938,3.784997146217095
36,2020,December,260.474,1.3620054947193205,6.7,142475.0,-6.120687383042089,,,29.92,5.463517800493478,119.4,0.8445945945946054,328.095,1.8283447753597137,198.155,-6.961621169864118,270.023,3.9257494525119174
37,2020,November,260.229,1.1745357842679605,6.7,142743.0,-5.880840289591327,,,29.64,4.550264550264549,119.3,0.8453085376162406,327.683,1.9019364549222928,194.388,-9.433645800331725,269.069,3.700663282806693
38,2020,October,260.388,1.1820661677274913,6.8,142479.0,-5.921543510270921,,,29.54,4.603399433427757,119.5,0.5892255892255838,327.32,2.0276483331514994,196.458,-9.194780703578909,269.828,3.927096813952047
39,2020,September,260.28,1.3713248610564666,7.8,141760.0,-6.316499028535927,,,29.52,4.792332268370592,118.7,0.33812341504648735,326.95,2.0526010225548674,198.858,-7.687379884689305,269.163,3.9468145499202745
40,2020,August,259.918,1.3096453823307153,8.4,140799.0,-6.824122664796073,,,29.48,4.799146818343414,118.5,-0.2525252525252486,326.693,2.2955141813991498,197.362,-9.04054788964781,269.079,4.128710189234153
41,2020,July,259.101,0.9860818253037085,10.2,139064.0,-7.830778305794706,,,29.39,4.889364739471813,118.4,-0.2527379949452402,326.249,2.348132160469829,197.665,-11.158603455405135,268.863,4.09990939854572
42,2020,June,257.797,0.6457330475554857,11.0,137620.0,-8.73823749809346,,,29.37,5.118110236220463,117.7,-0.6751054852320637,325.491,2.3759424036837506,193.379,-12.645625256919313,269.77,4.536084072168123
43,2020,May,256.394,0.11792637021070806,13.2,133055.0,-11.667662484232888,,,29.72,6.676238334529794,117.3,-1.0961214165261413,325.22,2.5629704849996715,183.076,-18.911473028218605,268.439,4.001782185889735
44,2020,April,256.389,0.3290966863368272,14.8,130430.0,-13.371811135537948,,,30.01,8.10518731988472,116.7,-1.518987341772149,324.504,2.6141786065514205,183.081,-17.716034678807546,266.757,3.5113384140189607
45,2020,March,258.115,1.5393269919198094,4.4,150944.0,0.41511442256518816,,,28.8,3.634400863620013,118.1,0.3398470688190214,324.6,3.0129543709101148,199.573,-5.73907540004911,262.708,1.9338517173410397
46,2020,February,258.678,2.3348735639459495,3.5,152371.0,1.5184020467446713,,,28.55,3.068592057761732,118.4,1.110162254483349,324.501,3.3235369973540374,208.354,2.769063825589435,261.876,1.8093320167015259
47,2020,January,257.971,2.4865719552504606,3.6,152098.0,1.3216622033920933,,,28.43,3.0445813700616053,119.0,1.9708654670094194,323.409,3.3248988824352566,213.043,6.222483708360982,261.057,1.8095524087716752
48,2019,December,256.974,2.2851297401217163,3.6,151764.0,1.3077000100130132,,,28.37,2.9390420899854997,118.4,1.3698630136986356,322.204,3.2268399266976777,212.982,3.4370219275879688,259.823,1.8075310528584243
49,2019,November,257.208,2.0512779818916194,3.6,151662.0,1.3634358583630712,,,28.35,3.316326530612246,118.3,1.0247651579846417,321.567,3.315694609104658,214.636,-0.5900606734287384,259.467,2.00016510796881
50,2019,October,257.346,1.7640429444213845,3.6,151447.0,1.2847264020972915,,,28.24,3.2163742690058506,118.8,1.0204081632653184,320.815,3.3550149645136473,216.351,-4.166426733168849,259.632,2.0734555233175245
51,2019,September,256.759,1.7113045131695204,3.5,151318.0,1.3102483245291507,,,28.17,3.111273792093705,118.3,1.4579759862778818,320.374,3.506051266145871,215.418,-4.751840470452984,258.943,1.7885712264095188
52,2019,August,256.558,1.7497798894291483,3.6,151111.0,1.2319792057452261,,,28.13,3.4191176470588225,118.8,1.8867924528301883,319.362,3.3520601675059325,216.978,-4.389285226426476,258.41,1.7053885239514122
53,2019,July,256.571,1.8114648063935146,3.7,150879.0,1.2461247332608671,,,28.02,3.4330011074197087,118.7,1.6267123287671215,318.764,3.478006817075152,222.492,-2.032081794044216,258.274,1.7844616269813152
54,2019,June,256.143,1.6484846560762545,3.6,150797.0,1.2291395351959444,,,27.94,3.366629670736221,118.5,1.6295025728988,317.937,3.5008447733110293,221.373,-3.3883659120962584,258.064,1.9085341052240912
55,2019,May,256.092,1.7902284687663972,3.6,150630.0,1.260461833215687,,,27.86,3.2616753150481737,118.6,2.06540447504302,317.093,3.352259393496926,225.773,-0.45721088135444177,258.11,1.980260610514506
56,2019,April,255.548,1.9964397755302565,3.7,150563.0,1.439774702545371,,,27.76,3.1203566121842385,118.5,2.420051858254113,316.237,3.4400758864320258,222.499,1.6766439702051716,257.708,1.7767930839741153
57,2019,March,254.202,1.8625227405691724,3.8,150320.0,1.375091886350921,,,27.79,3.4623976172747595,117.7,1.9930675909878737,315.106,3.37716362872853,211.724,-0.3904890051469323,257.724,2.1214882910012944
58,2019,February,252.776,1.520135265933309,3.8,150092.0,1.3737859487498172,,,27.7,3.5514018691588767,117.1,1.9147084421235805,314.063,3.3836541753351046,202.74,-5.048262683882932,257.222,1.9645929296853382
59,2019,January,251.712,1.5512351381991252,4.0,150114.0,1.6550416469154117,,,27.59,3.217358772914336,116.7,1.9213973799126594,313.002,3.228423583421547,200.563,-4.794387244081788,256.417,1.6072214010881103
60,2018,December,251.233,1.9101588486313714,3.9,149805.0,1.548254146867234,,,27.56,3.57008643367156,116.8,2.6362038664323295,312.132,3.208697607364397,205.905,-0.3354340313071802,255.21,1.5809710314522496
61,2018,November,252.038,2.176601032152403,3.8,149622.0,1.5233041790781554,,,27.44,3.469079939668185,117.1,2.629272567922869,311.247,3.25680920943503,215.91,3.1172540273088023,254.379,1.39832822446595
62,2018,October,252.885,2.5224699286070296,3.8,149526.0,1.6167505963424311,,,27.36,3.28425821064553,117.6,3.0674846625766916,310.401,3.1870192211798543,225.757,8.908775145930825,254.358,1.1911013510287782
63,2018,September,252.439,2.2769721941990007,3.7,149361.0,1.6068136517935594,,,27.32,3.133257833144598,116.6,2.7312775330396333,309.522,3.2734867922765476,226.165,4.846298983361996,254.393,1.3546194515384968
64,2018,August,252.146,2.6991801041874375,3.8,149272.0,1.609862021551045,,,27.2,3.1084154662623265,116.6,3.0035335689045928,309.004,3.3790113213607142,226.939,10.221278910507348,254.077,1.4307785047885657
65,2018,July,252.006,2.9495150866471143,3.8,149022.0,1.5329899435859717,,,27.09,2.7693474962063647,116.8,3.362831858407067,308.05,3.4849971109528477,227.107,12.121705816720475,253.746,1.411591677524049
66,2018,June,251.989,2.87154783531669,4.0,148966.0,1.6222337435533696,,,27.03,2.9322162985529365,116.6,3.2772364924712027,307.183,3.3538011204010676,229.137,11.96749508908066,253.231,1.4331892667021728
